username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,96900,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,84800,https://github.com/angular/angular
storybookjs,storybook,75100,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,53000,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,48200,https://github.com/ionic-team/ionic-framework
prettier,prettier,44300,https://github.com/prettier/prettier
SheetJS,sheetjs,31700,https://github.com/SheetJS/sheetjs
Asabeneh,30-Days-Of-JavaScript,29700,https://github.com/Asabeneh/30-Days-Of-JavaScript
angular,angular-cli,25700,https://github.com/angular/angular-cli
angular,components,23100,https://github.com/angular/components
NativeScript,NativeScript,21800,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,20100,https://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,19400,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,18400,https://github.com/pubkey/rxdb
handsontable,handsontable,17300,https://github.com/handsontable/handsontable
teambit,bit,16000,https://github.com/teambit/bit
nrwl,nx,15300,https://github.com/nrwl/nx
sweetalert2,sweetalert2,15200,https://github.com/sweetalert2/sweetalert2
wailsapp,wails,12800,https://github.com/wailsapp/wails
sudheerj,javascript-interview-questions,12700,https://github.com/sudheerj/javascript-interview-questions
